time,type1_num,type10_num,type3_num,type4_num,type6_num
2023-04-13 07:00:00,15.0,,,,2.0
2023-04-13 07:01:00,5.0,,,,2.0
2023-04-13 07:02:00,9.0,,,,1.0
2023-04-13 07:03:00,18.0,2.0,,,2.0
2023-04-13 07:04:00,22.0,,1.0,,4.0
2023-04-13 07:05:00,42.0,1.0,1.0,,2.0
2023-04-13 07:06:00,42.0,2.0,2.0,,
2023-04-13 07:07:00,31.0,1.0,4.0,,
2023-04-13 07:08:00,29.0,,2.0,,2.0
2023-04-13 07:09:00,26.0,,,2.0,2.0
2023-04-13 07:10:00,21.0,,1.0,2.0,2.0
2023-04-13 07:11:00,19.0,,3.0,2.0,
2023-04-13 07:12:00,24.0,,4.0,2.0,
2023-04-13 07:13:00,14.0,,,,4.0
2023-04-13 07:14:00,18.0,,,,4.0
2023-04-13 07:15:00,26.0,,2.0,,4.0
2023-04-13 07:16:00,24.0,,5.0,2.0,4.0
2023-04-13 07:17:00,23.0,,4.0,,
2023-04-13 07:18:00,20.0,,4.0,,
2023-04-13 07:19:00,5.0,,4.0,,
2023-04-13 07:20:00,10.0,,6.0,,
2023-04-13 07:21:00,18.0,,5.0,,
2023-04-13 07:22:00,30.0,,6.0,,
2023-04-13 07:23:00,27.0,,,,1.0
2023-04-13 07:24:00,28.0,,,,1.0
2023-04-13 07:25:00,30.0,,2.0,,4.0
2023-04-13 07:26:00,22.0,,3.0,,
2023-04-13 07:27:00,23.0,,,2.0,
2023-04-13 07:28:00,13.0,,,2.0,
2023-04-13 07:29:00,25.0,,,,2.0
2023-04-13 07:30:00,26.0,,2.0,,
2023-04-13 07:31:00,27.0,,4.0,,
2023-04-13 07:32:00,18.0,,,,2.0
2023-04-13 07:33:00,26.0,,2.0,2.0,1.0
2023-04-13 07:34:00,16.0,,4.0,,1.0
2023-04-13 07:35:00,15.0,,3.0,,
2023-04-13 07:36:00,22.0,,1.0,1.0,1.0
2023-04-13 07:37:00,27.0,,,3.0,2.0
2023-04-13 07:38:00,27.0,,2.0,,
2023-04-13 07:39:00,27.0,,2.0,,
2023-04-13 07:40:00,15.0,,,,2.0
2023-04-13 07:41:00,12.0,,,,2.0
2023-04-13 07:42:00,28.0,,,,2.0
2023-04-13 07:43:00,27.0,,2.0,,2.0
2023-04-13 07:44:00,24.0,,3.0,1.0,
2023-04-13 07:45:00,25.0,,2.0,1.0,
2023-04-13 07:46:00,39.0,,5.0,,
2023-04-13 07:47:00,36.0,,7.0,,
2023-04-13 07:48:00,27.0,2.0,5.0,2.0,
2023-04-13 07:49:00,29.0,2.0,4.0,2.0,
2023-04-13 07:50:00,19.0,,2.0,,2.0
2023-04-13 07:51:00,22.0,,1.0,,2.0
2023-04-13 07:52:00,23.0,,2.0,,1.0
2023-04-13 07:53:00,23.0,,4.0,,2.0
2023-04-13 07:54:00,18.0,,2.0,2.0,2.0
2023-04-13 07:55:00,11.0,,4.0,,1.0
2023-04-13 07:56:00,8.0,,2.0,,2.0
2023-04-13 07:57:00,11.0,2.0,4.0,,2.0
2023-04-13 07:58:00,17.0,1.0,3.0,,
2023-04-13 07:59:00,25.0,,1.0,,
2023-04-13 08:00:00,37.0,,4.0,,
2023-04-13 08:01:00,17.0,,,,
2023-04-13 08:02:00,43.0,,,,
2023-04-13 08:03:00,24.0,,,,
2023-04-13 08:04:00,27.0,,,,
2023-04-13 08:05:00,29.0,,2.0,2.0,
2023-04-13 08:06:00,22.0,,6.0,2.0,
2023-04-13 08:07:00,26.0,,2.0,2.0,5.0
2023-04-13 08:08:00,24.0,,2.0,1.0,6.0
2023-04-13 08:09:00,32.0,,3.0,,
2023-04-13 08:10:00,21.0,,4.0,,
2023-04-13 08:11:00,26.0,,,,2.0
2023-04-13 08:12:00,44.0,,,,2.0
2023-04-13 08:13:00,22.0,,7.0,,
2023-04-13 08:14:00,20.0,,7.0,3.0,
2023-04-13 08:15:00,23.0,,7.0,,
2023-04-13 08:16:00,38.0,,7.0,,
2023-04-13 08:17:00,33.0,,14.0,,
2023-04-13 08:18:00,30.0,,11.0,,
