time,type1_num,type10_num,type3_num,type4_num,type6_num
2023-04-13 07:02:00,2.0,,1.0,,
2023-04-13 07:04:00,2.0,,,,
2023-04-13 07:06:00,2.0,,,,
2023-04-13 07:07:00,,,1.0,,
2023-04-13 07:09:00,2.0,,,,
2023-04-13 07:10:00,1.0,,,,
2023-04-13 07:11:00,2.0,,,,
2023-04-13 07:12:00,1.0,,,,
2023-04-13 07:13:00,2.0,,1.0,,
2023-04-13 07:19:00,,,1.0,,
2023-04-13 07:21:00,,,1.0,,
2023-04-13 07:23:00,2.0,,,,
2023-04-13 07:24:00,4.0,,,,
2023-04-13 07:25:00,1.0,,,,
2023-04-13 07:26:00,2.0,,,,
2023-04-13 07:27:00,2.0,,,,
2023-04-13 07:28:00,2.0,,,,
2023-04-13 07:29:00,3.0,,,,
2023-04-13 07:30:00,4.0,,,,
2023-04-13 07:31:00,,1.0,,,
2023-04-13 07:33:00,1.0,,,,
2023-04-13 07:34:00,2.0,,,,
2023-04-13 07:35:00,2.0,,1.0,,
2023-04-13 07:38:00,1.0,,2.0,,
2023-04-13 07:39:00,2.0,,1.0,,
2023-04-13 07:42:00,,1.0,,,
2023-04-13 07:44:00,2.0,,,,
2023-04-13 07:51:00,1.0,,,,
2023-04-13 07:52:00,2.0,,,,
2023-04-13 07:55:00,2.0,,,,
2023-04-13 07:56:00,2.0,,,,
2023-04-13 07:59:00,2.0,,,,
2023-04-13 08:00:00,2.0,,,,
2023-04-13 08:02:00,6.0,,,,
2023-04-13 08:03:00,6.0,,,,
2023-04-13 08:06:00,2.0,,,,
2023-04-13 08:07:00,2.0,,,,
2023-04-13 08:10:00,2.0,,,,
2023-04-13 08:15:00,2.0,,,,
2023-04-13 08:16:00,4.0,,,,
2023-04-13 08:17:00,4.0,,,,
2023-04-13 08:18:00,2.0,,,,
2023-04-13 08:24:00,2.0,,,,
2023-04-13 08:27:00,2.0,,,,
2023-04-13 08:28:00,2.0,,2.0,,
2023-04-13 08:32:00,4.0,,,,
